FrameNumber,networkID,lane,latitude,longitude,loc,gradient,crossfall,curvature
64,10009,L1,-37.6250689,175.2060581,0.0,-0.6,0.2,-35.0
64,10009,L1,-37.715141075,175.208194,0.0,-0.6,0.2,-35.0
65,10009,L1,-37.749749,175.2366081,0.0,-0.6,0.2,-35.0
65,10009,L1,-37.7047733,175.2083385,0.0,-0.6,0.2,-35.0
65,10009,L1,-37.6250689,175.2060581,0.0,-0.6,0.2,-35.0
65,10009,L1,-37.7153553,175.208261,0.0,-0.6,0.2,-35.0
66,10009,L1,-37.7497493,175.2366081,0.0,-0.6,0.2,-35.0
66,10009,L1,-37.7047733,175.2083385,0.0,-0.6,0.2,-35.0
66,10009,L1,-37.6257741,175.2060623,0.0,-0.6,0.2,-35.0
66,10009,L1,-37.7153553,175.208261,0.0,-0.6,0.2,-35.0
67,10009,L1,-37.7497493,175.2366081,0.0,-0.6,0.2,-35.0
67,10009,L1,-37.7047311542,175.2083585625,0.0,-0.6,0.2,-35.0
67,10009,L1,-37.6257741,175.2060623,0.0,-0.6,0.2,-35.0
67,10009,L1,-37.7155769915,175.2083090846,0.0,-0.6,0.2,-35.0
68,10009,L1,-37.7497493,175.2366081,0.0,-0.6,0.2,-35.0
68,10009,L1,-37.7046890083,175.208378625,0.0,-0.6,0.2,-35.0
68,10009,L1,-37.6257741,175.2060623,0.0,-0.6,0.2,-35.0
68,10009,L1,-37.7157986831,175.2083571692,0.0,-0.6,0.2,-35.0
69,10009,L1,-37.7497493,175.2366081,0.0,-0.6,0.2,-35.0
69,10009,L1,-37.7046468625,175.2083986875,0.0,-0.6,0.2,-35.0
69,10009,L1,-37.6257741,175.2060623,0.0,-0.6,0.2,-35.0
69,10009,L1,-37.7160203746,175.2084052537,0.0,-0.6,0.2,-35.0
70,10009,L1,-37.7497493,175.2366081,0.0,-0.6,0.2,-35.0
70,10009,L1,-37.7046047167,175.20841875,0.0,-0.6,0.2,-35.0
70,10009,L1,-37.6257741,175.2060623,0.0,-0.6,0.2,-35.0
70,10009,L1,-37.7162420662,175.2084533383,0.0,-0.6,0.2,-35.0
71,10009,L1,-37.7497498,175.2366076,0.0,-0.6,0.2,-35.0
71,10009,L1,-37.704571,175.2084348,0.0,-0.6,0.2,-35.0
71,10009,L1,-37.6262574,175.206082,0.0,-0.6,0.2,-35.0
71,10009,L1,-37.7162465,175.2084543,0.0,-0.6,0.2,-35.0
72,10009,L1,-37.7497498,175.2366076,0.0,-0.6,0.2,-35.0
72,10009,L1,-37.704571,175.2084348,0.0,-0.6,0.2,-35.0
72,10009,L1,-37.6262574,175.206082,0.0,-0.6,0.2,-35.0
72,10009,L1,-37.71641675,175.20847525,0.0,-0.6,0.2,-35.0
73,10009,L1,-37.7497498,175.2366076,0.0,-0.6,0.2,-35.0
73,10009,L1,-37.704571,175.2084348,0.0,-0.6,0.2,-35.0
73,10009,L1,-37.6262574,175.206082,0.0,-0.6,0.2,-35.0
73,10009,L1,-37.716587,175.2084962,0.0,-0.6,0.2,-35.0
74,10009,L1,-37.7497498,175.2366076,0.0,-0.6,0.2,-35.0
74,10009,L1,-37.704571,175.2084348,0.0,-0.6,0.2,-35.0
74,10009,L1,-37.6262574,175.206082,0.0,-0.6,0.2,-35.0
74,10009,L1,-37.71675725,175.20851715,0.0,-0.6,0.2,-35.0
75,10009,L1,-37.7497498,175.2366076,0.0,-0.6,0.2,-35.0
75,10009,L1,-37.704571,175.2084348,0.0,-0.6,0.2,-35.0
75,10009,L1,-37.6262574,175.206082,0.0,-0.6,0.2,-35.0
75,10009,L1,-37.7169275,175.2085381,0.0,-0.6,0.2,-35.0
76,10009,L1,-37.74975,175.2366075,0.0,-0.6,0.2,-35.0
76,10009,L1,-37.6270042,175.2061301,0.0,-0.6,0.2,-35.0
76,10009,L1,-37.7169275,175.2085381,0.0,-0.6,0.2,-35.0
77,10009,L1,-37.74975,175.2366075,0.0,-0.6,0.2,-35.0
77,10009,L1,-37.6270042,175.2061301,0.0,-0.6,0.2,-35.0
77,10009,L1,-37.717100525,175.20854385,0.0,-0.6,0.2,-35.0
78,10009,L1,-37.74975,175.2366075,0.0,-0.6,0.2,-35.0
78,10009,L1,-37.6270042,175.2061301,0.0,-0.6,0.2,-35.0
78,10009,L1,-37.71727355,175.2085496,0.0,-0.6,0.2,-35.0
79,10009,L1,-37.74975,175.2366075,0.0,-0.6,0.2,-35.0
79,10009,L1,-37.6270042,175.2061301,0.0,-0.6,0.2,-35.0
79,10009,L1,-37.717446575,175.20855535,0.0,-0.6,0.2,-35.0
80,10009,L1,-37.74975,175.2366075,0.0,-0.6,0.2,-35.0
80,10009,L1,-37.6270042,175.2061301,0.0,-0.6,0.2,-35.0
80,10009,L1,-37.7176196,175.2085611,0.0,-0.6,0.2,-35.0
81,10009,L1,-37.7497501,175.2366076,0.0,-0.6,0.2,-35.0
81,10009,L1,-37.628041,175.2062183,0.0,-0.6,0.2,-35.0
81,10009,L1,-37.7176196,175.2085611,0.0,-0.6,0.2,-35.0
82,10009,L1,-37.7497501,175.2366076,0.0,-0.6,0.2,-35.0
82,10009,L1,-37.628041,175.2062183,0.0,-0.6,0.2,-35.0
82,10009,L1,-37.7177767835,175.208553797,0.0,-0.6,0.2,-35.0
83,10009,L1,-37.7497501,175.2366076,0.0,-0.6,0.2,-35.0
83,10009,L1,-37.628041,175.2062183,0.0,-0.6,0.2,-35.0
83,10009,L1,-37.7179339669,175.2085464941,0.0,-0.6,0.2,-35.0
84,10009,L1,-37.7497501,175.2366076,0.0,-0.6,0.2,-35.0
84,10009,L1,-37.628041,175.2062183,0.0,-0.6,0.2,-35.0
84,10009,L1,-37.7180911504,175.2085391911,0.0,-0.6,0.2,-35.0
85,10009,L1,-37.7497501,175.2366076,0.0,-0.6,0.2,-35.0
85,10009,L1,-37.628041,175.2062183,0.0,-0.6,0.2,-35.0
85,10009,L1,-37.7182483339,175.2085318881,0.0,-0.6,0.2,-35.0
86,10009,L1,-37.7497505,175.2366078,0.0,-0.6,0.2,-35.0
86,10009,L1,-37.6288133,175.2062834,0.0,-0.6,0.2,-35.0
86,10009,L1,-37.7183148,175.2085288,0.0,-0.6,0.2,-35.0
87,10009,L1,-37.7497505,175.2366078,0.0,-0.6,0.2,-35.0
87,10009,L1,-37.6288133,175.2062834,0.0,-0.6,0.2,-35.0
87,10009,L1,-37.718487375,175.2085074,0.0,-0.6,0.2,-35.0
88,10009,L1,-37.7497505,175.2366078,0.0,-0.6,0.2,-35.0
88,10009,L1,-37.6288133,175.2062834,0.0,-0.6,0.2,-35.0
88,10009,L1,-37.71865995,175.208486,0.0,-0.6,0.2,-35.0
89,10009,L1,-37.7497505,175.2366078,0.0,-0.6,0.2,-35.0
89,10009,L1,-37.6288133,175.2062834,0.0,-0.6,0.2,-35.0
89,10009,L1,-37.718832525,175.2084646,0.0,-0.6,0.2,-35.0
90,10009,L1,-37.7497505,175.2366078,0.0,-0.6,0.2,-35.0
90,10009,L1,-37.6288133,175.2062834,0.0,-0.6,0.2,-35.0
90,10009,L1,-37.7190051,175.2084432,0.0,-0.6,0.2,-35.0
91,10009,L1,-37.7497505,175.2366078,0.0,-0.6,0.2,-35.0
91,10009,L1,-37.6298064,175.2063739,0.0,-0.6,0.2,-35.0
91,10009,L1,-37.7190051,175.2084432,0.0,-0.6,0.2,-35.0
92,10009,L1,-37.7497505,175.2366078,0.0,-0.6,0.2,-35.0
92,10009,L1,-37.6298064,175.2063739,0.0,-0.6,0.2,-35.0
92,10009,L1,-37.7191785,175.208404,0.0,-0.6,0.2,-35.0
93,10009,L1,-37.7497505,175.2366078,0.0,-0.6,0.2,-35.0
93,10009,L1,-37.6298064,175.2063739,0.0,-0.6,0.2,-35.0
93,10009,L1,-37.7193519,175.2083648,0.0,-0.6,0.2,-35.0
94,10009,L1,-37.7497505,175.2366078,0.0,-0.6,0.2,-35.0
94,10009,L1,-37.6298064,175.2063739,0.0,-0.6,0.2,-35.0
94,10009,L1,-37.7195253,175.2083256,0.0,-0.6,0.2,-35.0
95,10009,L1,-37.7497505,175.2366078,0.0,-0.6,0.2,-35.0
95,10009,L1,-37.6298064,175.2063739,0.0,-0.6,0.2,-35.0
95,10009,L1,-37.7196987,175.2082864,0.0,-0.6,0.2,-35.0
96,10009,L1,-37.7497505,175.2366079,0.0,-0.6,0.2,-35.0
96,10009,L1,-37.6305549,175.2064476,0.0,-0.6,0.2,-35.0
96,10009,L1,-37.7196987,175.2082864,0.0,-0.6,0.2,-35.0
97,10009,L1,-37.7497505,175.2366079,0.0,-0.6,0.2,-35.0
97,10009,L1,-37.6305549,175.2064476,0.0,-0.6,0.2,-35.0
97,10009,L1,-37.7199168536,175.2082176261,0.0,-0.6,0.2,-35.0
98,10009,L1,-37.7497505,175.2366079,0.0,-0.6,0.2,-35.0
98,10009,L1,-37.6305549,175.2064476,0.0,-0.6,0.2,-35.0
98,10009,L1,-37.7201350073,175.2081488523,0.0,-0.6,0.2,-35.0
99,10009,L1,-37.7497505,175.2366079,0.0,-0.6,0.2,-35.0
99,10009,L1,-37.6305549,175.2064476,0.0,-0.6,0.2,-35.0
99,10009,L1,-37.7203531609,175.2080800784,0.0,-0.6,0.2,-35.0
100,10009,L1,-37.7497505,175.2366079,0.0,-0.6,0.2,-35.0
100,10009,L1,-37.6305549,175.2064476,0.0,-0.6,0.2,-35.0
100,10009,L1,-37.7205713145,175.2080113046,0.0,-0.6,0.2,-35.0
101,10009,L1,-37.7497506,175.2366079,0.0,-0.6,0.2,-35.0
101,10009,L1,-37.6313015,175.2065198,0.0,-0.6,0.2,-35.0
101,10009,L1,-37.7206132,175.2079981,0.0,-0.6,0.2,-35.0
102,10009,L1,-37.7497506,175.2366079,0.0,-0.6,0.2,-35.0
